DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;HOG;P1692;P1692S1;P1692S2;P1692S3;P1692S4;P1692S5;P1692S6;P1692S7;P1692S8;P1692S9;P1692S10;P1692S11;P1692S12;P1692S13;P1692S14;P1692S15;P1693;P1694;P1694S1;P1694S2;P1694S36;P1694S3;P1694S4;P1694S5;P1694S6;P1694S7;P1694S37;P1694S9;P1694S10;P1694S11;P1694S12;P1694S13;P1694S14;P1694S38;P1694S39;P1694S40;P1694S41;P1694S42;P1694S15;P1694S16;P1694S17;P1694S43;P1694S18;P1694S19;P1694S20;P1694S21;P1694S22;P1694S23;P1694S24;P1694S25;P1694S26;P1694S28;P1694S29;P1694S30;P1694S31;P1694S32;P1694S33;P1694S34;P1694S35;P1695;P1696
647907;237;1006;1;1;82.630311847;1;;;;;;;;;;;1006;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647907;237;1410;1;1;82.630311847;1;;;;;;;;;;;;;;;1410;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647912;237;1002;1;1;98.652878005;1;;;;;;;;;;;1002;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2
647912;237;1401;1;1;98.652878005;1;;;;;;;;;;;;;;;1401;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2
647928;237;1401;1;1;85.681415547;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647936;237;1401;2;1;56.900407398;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647937;237;1003;1;1;98.475365928;1;;;;;;;;;;;1003;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647937;237;205;1;1;98.475365928;1;;;0205;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647937;237;302;1;1;98.475365928;1;;;;0302;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647937;237;608;1;1;98.475365928;1;;;;;;;0608;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647937;237;702;1;1;98.475365928;1;;;;;;;;0702;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647948;237;1005;1;1;66.999716199;1;;;;;;;;;;;1005;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647948;237;1007;1;2;66.999716199;1;;;;;;;;;;;1007;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647948;237;1401;1;1;66.999716199;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647962;237;1007;1;1;63.307607606;1;;;;;;;;;;;1007;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647978;237;502;1;1;67.770318483;1;;;;;;0502;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647978;237;301;1;1;67.770318483;1;;;;0301;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647980;237;607;1;1;35.994179488;1;;;;;;;0607;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647980;237;1304;1;1;35.994179488;1;;;;;;;;;;;;;;1304;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647984;237;1403;2;1;44.989652836;1;;;;;;;;;;;;;;;1403;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647984;237;1502;2;1;44.989652836;1;;;;;;;;;;;;;;;;1502;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648040;237;104;1;1;1831.1448904;1;;0104;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648040;237;104;2;1;1831.1448904;1;;0104;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648040;237;201;1;1;1831.1448904;1;;;0201;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648040;237;1401;1;1;1831.1448904;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648066;237;501;2;1;1766.568476;1;;;;;;0501;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648066;237;406;2;1;1766.568476;1;;;;;406;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648070;237;105;2;1;173.03366031;1;;0105;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648072;237;303;1;1;164.83620523;1;;;;0303;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648088;237;302;1;1;224.03012232;1;;;;0302;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648088;237;502;1;1;224.03012232;1;;;;;;0502;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648088;237;1402;1;1;224.03012232;1;;;;;;;;;;;;;;;1402;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648088;237;103;1;1;224.03012232;1;;0103;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648112;237;302;1;1;808.3022149;1;;;;0302;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648112;237;204;1;1;808.3022149;1;;;0204;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648177;237;502;1;1;243.75082494;1;;;;;;0502;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648177;237;201;1;1;243.75082494;1;;;0201;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648189;237;1003;1;1;509.30065859;1;;;;;;;;;;;1003;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648189;237;702;1;1;509.30065859;1;;;;;;;;0702;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648189;237;901;1;1;509.30065859;1;;;;;;;;;;0901;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648214;237;1006;1;1;154.14309441;1;;;;;;;;;;;1006;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648214;237;205;2;1;154.14309441;1;;;0205;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648214;237;1401;2;1;154.14309441;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648217;237;504;2;1;92.485856647;1;;;;;;0504;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648224;237;702;1;1;87.352382504;1;;;;;;;;0702;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648224;237;802;1;1;87.352382504;1;;;;;;;;;0802;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648224;237;105;1;1;87.352382504;1;;0105;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648240;237;703;2;1;79.245597742;1;;;;;;;;0703;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648240;237;1402;2;1;79.245597742;1;;;;;;;;;;;;;;;1402;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648259;237;1006;1;1;521.85143207;1;;;;;;;;;;;1006;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648349;237;301;1;1;1811.4182489;1;;;;0301;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648349;237;1401;1;1;1811.4182489;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648355;237;201;1;1;59.322426742;1;;;0201;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648362;237;1006;1;1;82.446001235;1;;;;;;;;;;;1006;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648364;237;603;1;1;86.540764952;1;;;;;;;0603;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648364;237;201;1;1;86.540764952;1;;;0201;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648368;237;302;1;1;61.45354083;1;;;;0302;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
648368;237;1005;1;1;61.45354083;1;;;;;;;;;;;1005;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648368;237;202;1;1;61.45354083;1;;;0202;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
648377;237;302;3;1;44.694816411;1;;;;0302;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648377;237;1105;3;1;44.694816411;1;;;;;;;;;;;;1105;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648377;237;205;3;1;44.694816411;1;;;0205;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648377;237;401;3;1;44.694816411;1;;;;;401;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648377;237;1401;3;1;44.694816411;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648378;237;1401;1;1;61.565083901;1;;;;;;;;;;;;;;;1401;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2
648378;237;1006;1;1;61.565083901;1;;;;;;;;;;;1006;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648382;237;301;4;1;54.697925722;1;;;;0301;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648382;237;608;4;1;54.697925722;1;;;;;;;0608;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648382;237;1006;4;1;54.697925722;1;;;;;;;;;;;1006;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648382;237;201;4;1;54.697925722;1;;;0201;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648382;237;403;4;1;54.697925722;1;;;;;403;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
648382;237;103;4;1;54.697925722;1;;0103;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
648383;237;1401;1;1;41.921743368;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
