DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;HOG;P3154;P1672;P1673;P1673S1;P1673S2;P1673S36;P1673S3;P1673S4;P1673S5;P1673S6;P1673S7;P1673S37;P1673S9;P1673S10;P1673S11;P1673S12;P1673S13;P1673S14;P1673S38;P1673S39;P1673S40;P1673S41;P1673S42;P1673S15;P1673S16;P1673S17;P1673S43;P1673S18;P1673S19;P1673S20;P1673S21;P1673S22;P1673S23;P1673S24;P1673S25;P1673S26;P1673S28;P1673S29;P1673S30;P1673S31;P1673S32;P1673S33;P1673S34;P1673S35;P1674;P1675;P1676;P1676S2;P1676S3;P1677;P1678;P1679;P1680;P1681;P1682;P1683;P1684;P1685;P1686;P1687;P1688;P1689;P1690
647783;237;2;1;2;120.43283288;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
647785;237;1;1;1;89.225097405;1;0105;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;2;;;;;;;;2;;1;;1;
647785;237;2;1;2;89.225097405;1;0802;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;2;;;;;;;;2;;1;;1;
647785;237;1;4;1;89.225097405;1;1403;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;;;;1;1;1;1;;5;
647789;237;1;1;1;82.050272801;1;0301;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;2;2;;1;;7;1
647791;237;1;3;1;71.845078567;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;1;;
647791;237;2;3;2;71.845078567;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;1;;
647798;237;1;1;1;1793.3259594;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;5;1;1;3;;;;;;;;1;1;3;1;;5;
647799;237;1;1;1;958.30451388;1;1411;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;2;;1;;;
647803;237;1;3;1;1424.7873533;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;1;1;1;;;
647811;237;1;2;1;784.12349281;1;0606;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;1;1;1;;;
647817;237;1;2;1;516.71020049;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;7;3;;;5;;;;;;;;2;;1;;7;1
647818;237;1;1;1;801.17985241;1;0302;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;;;
647818;237;1;3;1;801.17985241;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
647821;237;1;1;1;920.93100045;1;0201;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;1;1;1;;;
647821;237;2;1;2;920.93100045;1;1006;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;1;1;;;
647823;237;1;1;1;826.17015238;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
647827;237;1;1;1;720.73850504;1;0606;1;;;;;1;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;1;9;3;;;5;;;;;;;;2;;2;3;1;
647827;237;2;1;2;720.73850504;1;1401;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;3;;;5;;;;;;;;2;;2;2;1;
647830;237;1;1;1;155.14843986;1;0202;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;12;2;3;;
647830;237;2;1;2;155.14843986;1;1201;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;5;;;;;;;;1;1;3;1;;7;1
647836;237;1;1;1;113.47991141;1;0103;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;;;;1;1;1;1;;7;4
647846;237;1;1;1;75.853703392;1;0104;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;;;;;;;;;;;2;;1;;1;
647846;237;1;3;1;75.853703392;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;1;1;1;;;
647854;237;1;1;1;96.241149147;1;1401;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;10;;;;;;;;1;1;3;1;;7;1
647867;237;1;1;1;125.26188062;1;0105;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;8;1;;1;
647868;237;1;4;1;101.57621763;1;0607;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;2;1;;7;1
647871;237;1;1;1;87.92787535;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;5;;;;;;;;;;;2;;1;;7;2
647873;237;1;1;1;112.3780488;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;2;1;;
647879;237;1;1;1;109.01310016;1;0302;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;1;1;;3;
647883;237;1;1;1;105.41146158;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;2;1;;
647884;237;1;1;1;91.046161553;1;0302;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;2;;1;;7;1
647885;237;1;1;1;116.79855629;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
647885;237;1;2;1;116.79855629;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
647886;237;1;1;1;106.96352409;1;1001;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;27;7;1;3;9;;;;;;;;1;1;3;1;;7;1
647888;237;1;1;1;88.126707412;1;0301;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;2;;1;;7;5
647888;237;2;1;2;88.126707412;1;0302;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;2;;1;;7;5
647889;237;1;1;1;1262.7580699;1;0607;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;4;;;;1;;;;;;;1;3;1;;7;1
647889;237;2;1;2;1262.7580699;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;4;;;;9;;;;;;;1;3;1;;7;1
647894;237;1;1;1;1264.9367471;1;0607;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;2;;2;1;7;2
647898;237;1;1;1;1028.2135043;1;1003;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;2;10;;;;;;;;1;1;2;1;;7;1
647898;237;2;1;2;1028.2135043;1;1006;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;1;1;;;
647898;237;1;2;1;1028.2135043;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
647901;237;1;3;1;576.1385354;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
647904;237;1;1;1;119.26891239;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
647905;237;1;1;1;69.47247433;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;2;11;;
647910;237;1;2;1;81.774035273;1;0704;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
647910;237;2;2;2;81.774035273;1;1401;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;5;;;;;;;;1;1;1;1;;7;5
647910;237;1;1;1;81.774035273;1;0301;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;7;1;1;10;;;;;;;;1;2;;1;;7;1
647911;237;1;1;1;69.932734414;1;1301;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;2;1;;;
647914;237;2;1;2;127.9699074;1;0301;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;7;2;1;3;;;;;;;;2;2;;1;;7;1
647914;237;1;1;1;127.9699074;1;0201;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;1;1;;7;1
647916;237;1;1;1;107.10176943;1;0702;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;;2;1;;
647916;237;2;1;2;107.10176943;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;2;1;;
647919;237;1;1;1;83.676709453;1;1003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;1;1;1;;;
647919;237;2;1;2;83.676709453;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;2;;1;;;
647922;237;1;1;1;77.117517128;1;0103;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;3;2;8;;
647922;237;2;1;2;77.117517128;1;0606;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;3;2;1;;
647926;237;1;1;1;63.311850742;1;0403;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;2;;1;;7;3
647926;237;2;1;2;63.311850742;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;1;;
647928;237;1;2;1;85.681415547;1;1408;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;1;2;8;;
647935;237;1;1;1;63.307607606;1;0203;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
647935;237;2;1;2;63.307607606;1;1403;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;;1;1;1;1;;7;1
647935;237;1;2;1;63.307607606;1;0606;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
647937;237;1;4;1;98.475365928;1;0608;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;2;1;12;2;1;7;1
647937;237;2;4;2;98.475365928;1;1411;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;1;12;2;1;;
647938;237;1;1;1;88.413597313;1;1003;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;1;10;;;;;;;;1;1;1;1;;7;1
647938;237;2;1;2;88.413597313;1;1005;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;2;1;;
647940;237;1;1;1;96.160734654;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;6;2;1;;
647941;237;1;1;1;76.9956416;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;12;0;;;;;;;;1;2;;2;1;7;5
647950;237;1;1;1;56.896635722;1;0103;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;6;1;;7;1
647951;237;1;1;1;103.89605699;1;0701;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
647951;237;2;1;2;103.89605699;1;0704;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
647951;237;1;3;1;103.89605699;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;3;;;99;;;;;;;;2;;1;;7;1
647953;237;1;1;1;56.04635289;1;0205;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;2;1;3;1;;7;1
647953;237;2;1;2;56.04635289;1;1006;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;1;1;3;1;;7;1
647953;237;1;2;1;56.04635289;1;0205;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;7;1;1;10;;;;;;;;1;1;1;1;;7;1
647953;237;2;2;2;56.04635289;1;0702;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;7;2;1;3;;;;;;;;1;1;1;1;;7;1
647956;237;1;1;1;89.857545912;1;1006;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;2;3;;
647956;237;2;1;2;89.857545912;1;1007;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;1;;
647959;237;1;1;1;83.000261093;1;0103;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;2;2;;
