DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C
648560;236;1;1;1;94.827726203
648561;236;1;1;1;93.789048305
648562;236;1;1;1;93.404302023
648563;236;1;1;1;135.45177276
648564;236;1;1;1;61.908283576
648565;236;1;1;1;56.273428983
648566;236;1;1;1;102.50416348
648567;236;1;1;1;74.522781412
648568;236;1;1;1;71.288982273
648569;236;1;1;1;97.320327397
648570;236;1;1;1;84.567926417
648571;236;1;1;1;67.503263052
648572;236;1;1;1;118.71055302
648573;236;1;1;1;58.030358862
648574;236;1;1;1;91.264001148
648575;236;1;1;1;76.979153997
648576;236;1;1;1;117.75670198
648577;236;1;1;1;53.365153514
648578;236;1;1;1;56.277200659
648579;236;1;1;1;104.17061386
648580;236;1;1;1;96.097653267
648581;236;1;1;1;47.635835885
648582;236;1;1;1;52.756339672
648583;236;1;1;1;62.221487312
648584;236;1;1;1;80.951125646
648585;236;1;1;1;123.10241613
648586;236;1;1;1;62.75753209
648587;236;1;1;1;169.66520089
648587;236;2;1;2;169.66520089
648587;236;3;1;3;169.66520089
648587;236;4;1;4;169.66520089
648587;236;5;1;5;169.66520089
648588;236;1;1;1;263.11770852
648589;236;1;1;1;169.66520089
648590;236;1;1;1;373.733368
648591;236;1;1;1;169.66520089
648592;236;1;1;1;412.38727329
648593;236;1;1;1;208.5805985
648594;236;1;1;1;329.25496106
648595;236;1;1;1;253.0422678
648596;236;1;1;1;218.63930157
648597;236;1;1;1;313.12137337
648598;236;1;1;1;96.762144615
648599;236;1;1;1;217.5057342
648600;236;1;1;1;96.762144615
648601;236;1;1;1;96.762144615
648602;236;1;1;1;96.762144615
648603;236;1;1;1;172.59836187
648604;236;1;1;1;172.59836187
