DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1398S1;P1398S2;P1398S3;P1398S4;P1398S5;P1398S6;P1398S8;P1398S9;P1398S10;P1398S12;P1398S13;P1398S20;P1398S22;P1590S1;P1590S2;P1590S3;P1590S4;P1590S5;P520S1;P520S2;P520S3;P520S4;P520S8;P520S9;P520S5;P520S10;P520S6;P3103
647818;236;1;1;1;801.17985241;1;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;9
647820;236;1;1;1;947.41765265;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647821;236;1;1;1;920.93100045;1;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647823;236;1;1;1;826.17015238;1;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647824;236;1;1;1;674.17128578;1;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647826;236;1;1;1;638.86967592;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647827;236;1;1;1;720.73850504;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;2;2;2;2;1;1;2;2;2;2;2;2;7
647828;236;1;1;1;745.95411037;1;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647829;236;1;1;1;899.93835114;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647830;236;1;1;1;155.14843986;1;2;2;2;1;2;1;2;1;1;;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;
647831;236;1;1;1;84.27253915;2;2;2;2;2;2;1;2;1;1;;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;
